Mr,L,P,R,T,rho,epsilon,kappa,del_ad,del_nabla,Shell
2.7846e+28,1.9342025578581893e+31,1.998146319107396e+17,427193339.9415285,17469389.825208064,85.34174252036749,83.63606970506964,9977000638.225302,0.3986006904192461,0.3986006904192461,Ad
1.6708713951395138e+29,3.091501036091969e+31,1.9938982769668813e+17,775762045.612604,17454524.302648243,85.2329632246253,82.6863713810106,9977000638.22575,0.39860246327442905,0.39860246327442905,Ad
3.063282790279028e+29,4.238001659312408e+31,1.9908502502877907e+17,949912043.2078187,17443846.44722645,85.15485497437967,82.01231450208678,9977000638.225382,0.3986037362514645,0.37803919907070865,Rad
4.455694185418542e+29,5.375908547832092e+31,1.9882745231813245e+17,1076054167.6001837,17434815.15394025,85.08881408431472,81.44743645076278,9977000638.22526,0.39860481270961123,0.32994130227187196,Rad
5.848105580558056e+29,6.506409198513588e+31,1.9859189830583338e+17,1178895648.1339269,17426550.335941598,85.02838581451131,80.93465641743174,9977000638.225832,0.398605797461281,0.30446349234292297,Rad
7.24051697569757e+29,7.630106581836456e+31,1.983753418747487e+17,1266221249.8485649,17418946.858321093,84.97280588876919,80.4663952013706,9977000638.225628,0.39860670322331737,0.2885721192462396,Rad
8.632928370837083e+29,8.747494683582361e+31,1.981757731532277e+17,1342348803.1396663,17411934.76225095,84.92156758320834,80.03750136619558,9977000638.225586,0.3986075385006621,0.27763947521570526,Rad
1.0025339765976597e+30,9.859038046743907e+31,1.9798911767211478e+17,1410556519.8592875,17405371.91802703,84.87362905429626,79.63863083926779,9977000638.225302,0.3986083202436613,0.26961047465008015,Rad
1.1417751161116111e+30,1.0965171591168712e+32,1.9780926279856835e+17,1473086800.1708145,17399044.948917042,84.82741859464267,79.25640073584356,9977000638.225628,0.3986090737015178,0.2634347554749041,Rad
1.2810162556255625e+30,1.2066170685229328e+32,1.9763312827143334e+17,1531106517.5919218,17392846.399792053,84.78214329764795,78.88410211873153,9977000638.225302,0.39860981156237396,0.2585146450931862,Rad
1.4202573951395141e+30,1.316213285146152e+32,1.9746302753420538e+17,1585149667.4028904,17386857.200742446,84.73840284749903,78.52641629074628,9977000638.225832,0.39861052435241595,0.25448013253605123,Rad
1.5594985346534655e+30,1.4253219184981313e+32,1.9729867871447597e+17,1635709159.442009,17381067.56658723,84.69612718799031,78.1825442446009,9977000638.225342,0.398611213283536,0.2510958918795315,Rad
1.698739674167417e+30,1.5339586354449728e+32,1.9713974344006685e+17,1683231120.4096131,17375465.73711674,84.65523134581449,77.8515918196195,9977000638.22575,0.3986118797921495,0.24820379495237868,Rad
1.8379808136813683e+30,1.6421386501986713e+32,1.9698583057114138e+17,1728114830.1927912,17370038.107509065,84.61561636727794,77.53257884252285,9977000638.225464,0.398612525523203,0.24569367795460972,Rad
1.9772219531953197e+30,1.7498767243171155e+32,1.9683649620020448e+17,1770712721.8653846,17364769.22833005,84.57716929455587,77.22444021353553,9977000638.225464,0.39861315232960487,0.2434864632062381,Rad
2.116463092709271e+30,1.8571871667040867e+32,1.966912436521026e+17,1811330381.6879869,17359641.8055333,84.53976314426595,76.92602685507225,9977000638.225832,0.3986137622717122,0.24152394328952378,Rad
2.2557042322232224e+30,1.96408383360926e+32,1.9654952348402374e+17,1850226549.1079443,17354636.70046017,84.5032568875099,76.63610657847474,9977000638.22575,0.39861435761685227,0.23976234877738,Rad
2.3949453717371738e+30,2.0705801286282033e+32,1.9641073348549747e+17,1887613116.7593558,17349732.92983977,84.46749543042212,76.35336492848487,9977000638.225302,0.39861494083885646,0.2381681597212828,Rad
2.5341865112511252e+30,2.1766890027023787e+32,1.9627421867839494e+17,1923655130.4630733,17344907.665788975,84.43230959415789,76.07640606931152,9977000638.225872,0.3986155146175802,0.23671529791881687,Rad
2.6734276507650766e+30,2.282422949934613e+32,1.9613927212872368e+17,1958470829.2746956,17340136.2641696,84.3975163041978,75.80375540096475,9977000638.225586,0.3986160818350814,0.2353831955584711,Rad
2.812668790279028e+30,2.3877895778907368e+32,1.9600590567022707e+17,1992166481.6890965,17335419.181281306,84.363119080442,75.53539248607873,9977000638.22526,0.39861664244538986,0.23415447037205236,Rad
2.9519099297929793e+30,2.492792271858184e+32,1.9587452580077216e+17,2024826394.6863763,17330770.637089975,84.32922427036901,75.27207747004144,9977000638.22571,0.3986171948074523,0.23301435468885906,Rad
3.0911510693069307e+30,2.597436172853802e+32,1.9574510297609635e+17,2056505472.682461,17326189.614789076,84.29582491663191,75.01369813029352,9977000638.225464,0.3986177390558303,0.23195115400074162,Rad
3.230392208820882e+30,2.701726393961101e+32,1.956176042407355e+17,2087256581.3337224,17321674.97835083,84.26291314641355,74.76013768219049,9977000638.22579,0.39861827533827765,0.23095519478210916,Rad
